y_true_kw,y_pred_kw
0.0,-0.2112877732508358
0.0,-0.23833193629013782
0.0,-0.26392520943653774
0.0,-0.2528409792126502
0.0,-0.18687610036100955
0.0,-0.00505269806559927
0.0,0.6492449557958893
3.681000073701144,5.611919560291202
16.693000283241272,17.412891315955754
30.51199921369553,30.71012677125185
39.95899918794632,39.549979974842735
42.5400008559227,42.83360514682658
25.41500011205673,40.9535635602487
25.4489995777607,36.74617743099838
23.15899907588959,28.36175707050605
10.220999772548677,14.345185513588964
2.3890000939369203,5.947342514319672
0.0,2.4580200684834925
0.0,0.9302936368633206
0.0,0.01112471989145758
0.0,-0.19560086814397915
0.0,-0.2674442927302594
0.0,-0.31751224593334654
0.0,-0.26112199470762965
0.0,-0.2607721327094984
0.0,-0.28937990716262424
0.0,-0.31215130333765073
0.0,-0.2919784671977093
0.0,-0.21492110615947863
0.0,-0.0003143418493269934
0.0,0.7471118708321878
3.6749998961389063,6.315786438781388
16.58299959540367,19.52900326249229
29.825999965667727,34.2845832865437
39.04000100374222,44.08754629069727
44.29700073242188,48.32847298524664
44.86100201845169,47.50975641700489
39.50900178909302,43.376182065737794
29.945999408960343,34.160867771482515
14.926999883651732,17.397641393733018
2.0360000456124543,6.839315362991766
0.0,2.734028460246223
0.0,0.955852549953117
0.0,-0.07889369471664237
0.0,-0.27854479800559484
0.0,-0.3385550552275971
0.0,-0.3756641950355565
0.0,-0.3179267236487063
0.0,-0.17702493855919338
0.0,-0.20571305646441684
0.0,-0.24079085255971133
0.0,-0.2370627243615664
0.0,-0.1774736738260405
0.0,-0.009877503014306344
0.0,0.5209450299452134
1.0220000128075482,4.566985617229732
10.6799997484684,14.848726141919991
16.715000420808792,27.280293508097976
30.85300031900406,35.539986255951526
37.613001136779786,37.74241270554287
38.601998825073245,34.7655752026918
18.77099964618683,29.18950145766493
12.088000336885452,20.475430135563684
13.181000075936318,9.860060554586255
2.156999903619289,4.3885031028835195
0.0,2.0162818463387
0.0,0.8290032510247067
0.0,0.038610641689427405
0.0,-0.15573873956685963
0.0,-0.23168711539135056
0.0,-0.281880267541464
0.0,-0.21418370338754428
0.0,-0.23696194587057484
0.0,-0.25707493335637627
0.0,-0.27797064893861134
0.0,-0.25304322606081026
0.0,-0.17237569975681766
0.0,0.05117688737127113
0.0,0.735356615766463
2.8419998922944067,5.56204874074976
16.294000028967858,17.06489048493279
28.90200034976005,31.05333866048364
37.232999134063725,40.836273841710536
30.11600084543228,44.63183640584813
44.4180004620552,42.68729141607251
33.64699930429459,36.49445019795763
24.50500039696693,25.52133414869712
9.108000468611715,11.341739825363865
1.9280000588297843,4.497809725959056
0.0,1.8774972936819707
0.0,0.6307486715416744
0.0,-0.11452090939624626
0.0,-0.2754164499513396
0.0,-0.32648411199246286
0.0,-0.35945907598479376
0.0,-0.29907807301474965
0.0,-0.2176693011619339
0.0,-0.2217524485917738
0.0,-0.2528042520181599
0.0,-0.2588108926390843
0.0,-0.22821316893084004
0.0,-0.11584380655989385
0.0,0.18143470106130655
2.2359999307990077,2.2229945219983667
7.416999977827072,8.121541638144171
5.97099980533123,15.421739733795935
18.544000374078752,20.657708854558564
6.456000037193299,22.387076698009523
17.088999678492545,21.53296877058545
32.318999029397965,21.570325553411948
14.085000126957894,17.932567143349665
8.398999769687652,9.331278639005523
0.4330000088177621,4.267654614999876
0.0,1.944616583920011
0.0,0.9434195630093474
0.0,0.22861342103105287
0.0,0.00841154178766701
0.0,-0.0733032261873513
0.0,-0.17636912920879017
0.0,-0.1699030431235829
0.0,-0.22739693301662567
0.0,-0.23897948717459772
0.0,-0.26071272912538923
0.0,-0.24653459038222586
0.0,-0.18331045912061517
0.0,0.0015395317111066564
0.0,0.5666625780187908
3.176000020205975,4.54374754880296
15.72999976992607,14.645788139853556
29.41499935626984,26.59860389519457
26.13400059342385,34.76704488933414
40.706999757289886,37.415563560230154
39.93799933671952,35.050371955011435
34.79799819231033,30.51845550298608
14.83299966931343,22.225057986415543
12.50700015604496,10.381731890037754
3.168000040203333,4.366392539019423
0.0,1.8606089756920094
0.0,0.7135702857277413
0.0,-0.012110367084421925
0.0,-0.192338375294683
0.0,-0.2529488986621992
0.0,-0.3005612985168994
0.0,-0.2430897956617406
0.0,-0.2630088744872253
0.0,-0.28318248102355054
0.0,-0.30261400936544847
0.0,-0.2839600955313304
0.0,-0.21473805605612278
0.0,-0.017686608445172225
0.0,0.6719336913162153
3.848999910503626,5.56956594893107
17.303000363111497,17.618671770971297
29.85600033998489,31.356727810993583
38.3859985947609,40.856950179582824
31.69499904870987,45.1434555677972
27.534000945091247,44.401059955280644
31.780999026298524,40.920852289537564
19.93099905729294,32.47858453565711
13.805000056624412,16.580842378560504
2.1100000531971457,6.759547134270625
0.0,2.711297941652777
0.0,0.9766378040514194
0.0,-0.039675193600485326
0.0,-0.24632159807889248
0.0,-0.3095363240848192
0.0,-0.3535439439196412
0.0,-0.3026083364360598
0.0,-0.29217205727133255
0.0,-0.30696052144249375
0.0,-0.3223467385496016
0.0,-0.302769567892359
0.0,-0.23594128753667154
0.0,-0.05048686245103706
0.0,0.6414238283731188
3.917000125646591,5.725591851111556
15.713000037074089,18.537384112695776
28.198000055551528,33.05595796715618
38.220998589992526,42.962029244889614
44.33099814414978,47.522865389618225
43.5119998383522,46.864610267152486
39.145998492240906,43.20705320868088
