weight_multi_branch,weight_tft,rmse
0.0,1.0,23.389398653517905
0.05,0.95,22.19708866091069
0.1,0.9,21.006137338164745
0.15000000000000002,0.85,19.816789647208562
0.2,0.8,18.6293527309982
0.25,0.75,17.444216796192144
0.30000000000000004,0.7,16.261884924310543
0.35000000000000003,0.6499999999999999,15.083016546859886
0.4,0.6,13.908492377556387
0.45,0.55,12.73951402066042
0.5,0.5,11.577761439545514
0.55,0.44999999999999996,10.425650465165946
0.6000000000000001,0.3999999999999999,9.286770186397803
0.65,0.35,8.166657735602959
0.7000000000000001,0.29999999999999993,7.07423365802717
0.75,0.25,6.024578850725556
0.8,0.19999999999999996,5.044462707882687
0.8500000000000001,0.1499999999999999,4.183054254512235
0.9,0.09999999999999998,3.5283943917214
0.9500000000000001,0.04999999999999993,3.2095912937994835
1.0,0.0,3.324706117132787
